Price	Close	High	Low	Open	Volume
Ticker	AAPL	AAPL	AAPL	AAPL	AAPL
Date					
2002-04-29	0.3522147238	0.365248878	0.3459224994	0.3469712035	1238081600
2002-05-06	0.3493689299	0.3673462402	0.3316902813	0.34981776	1389108000
2002-05-13	0.3746872246	0.3892197636	0.3436757571	0.3523649017	1591486400
2002-05-20	0.3618032932	0.3781328798	0.3493690115	0.3680955183	1377353600
2002-05-27	0.3490686715	0.3661483015	0.3487691596	0.3549120666	933380000
2002-06-03	0.3206042945	0.3513162553	0.3135628766	0.3504177445	1732388000
2002-06-10	0.3011285365	0.3271959697	0.2713150922	0.3218022809	1932772800
2002-06-17	0.2524385154	0.3090686068	0.2515391294	0.3032260605	3229251200
2002-06-24	0.2654725313	0.2669700905	0.2394042496	0.2512395055	1813604800
2002-07-01	0.2807534933	0.2809028117	0.2509400448	0.265322417	888557600
2002-07-08	0.2623264492	0.2815026602	0.2542363281	0.2774571621	1462003200
2002-07-15	0.2241234034	0.2786560698	0.217680985	0.2611275859	2902916800
2002-07-22	0.2148343921	0.2280187163	0.2067450955	0.2209772989	1924440000
2002-07-29	0.2164830118	0.2323629481	0.2134862417	0.2169318673	1348513600
2002-08-05	0.2247223854	0.2304156112	0.209291336	0.2173814568	1242617600
2002-08-12	0.2368571907	0.2412021758	0.2178311479	0.223224012	1416021600
2002-08-19	0.2356591523	0.2434497869	0.2314643356	0.2364083446	1027168800
2002-08-26	0.2209773362	0.238954654	0.2173815176	0.238954654	1057862400
2002-09-02	0.2154342383	0.2214269765	0.2104902293	0.2170819663	1105367200
2002-09-09	0.2122881413	0.2187297102	0.2104902446	0.2139358693	1162907200
2002-09-16	0.2227752209	0.2260706522	0.2115389603	0.2118384722	1602014400
2002-09-23	0.220527634	0.2275690778	0.2157337926	0.2211266579	1183851200
2002-09-30	0.2101907432	0.2191794016	0.2095908942	0.2157337767	1218190400
2002-10-07	0.2173814029	0.2214268998	0.200152449	0.2092912841	1671280800
2002-10-14	0.2148343921	0.2284675466	0.208242655	0.2179805047	1665143200
2002-10-21	0.2310146689	0.2314643494	0.2097410473	0.2136363523	1119524000
2002-10-28	0.2450974882	0.2471949215	0.2241234048	0.2329627185	1364820800
